Entity,Day,total_vaccinations
Alabama,1/12/21,78134
Alabama,1/13/21,84040
Alabama,1/14/21,92300
Alabama,1/15/21,100567
Alabama,1/19/21,130795
Alabama,1/20/21,139200
Alabama,1/21/21,165919
Alabama,1/22/21,199314
Alabama,1/23/21,221540
Alabama,1/24/21,243737
Alabama,1/25/21,250612
Alabama,1/26/21,254959
Alabama,1/27/21,266444
Alabama,1/28/21,278993
Alabama,1/29/21,300915
Alabama,1/30/21,342436
Alabama,1/31/21,353974
Alabama,2/1/21,358280
Alabama,2/2/21,371882
Alabama,2/3/21,388339
Alabama,2/4/21,408428
Alabama,2/5/21,430597
Alabama,2/6/21,455173
Alabama,2/7/21,462332
Alabama,2/8/21,467636
Alabama,2/9/21,490969
Alabama,2/10/21,515802
Alabama,2/11/21,543237
Alabama,2/12/21,571115
Alabama,2/13/21,601159
Alabama,2/14/21,612254
Alabama,2/16/21,636682
Alabama,2/17/21,650020
Alabama,2/18/21,672038
Alabama,2/19/21,739132
Alabama,2/20/21,776936
Alabama,2/21/21,788613
Alabama,2/22/21,793614
Alabama,2/23/21,815108
Alabama,2/24/21,839703
Alabama,2/25/21,864757
Alabama,2/26/21,893859
Alabama,2/27/21,931090
Alabama,2/28/21,942502
Alabama,3/1/21,948393
Alabama,3/2/21,972161
Alabama,3/3/21,1000031
Alabama,3/4/21,1032171
Alabama,3/5/21,1064578
Alabama,3/6/21,1099697
Alabama,3/7/21,1110132
Alabama,3/8/21,1116676
Alabama,3/9/21,1140984
Alabama,3/10/21,1173820
Alabama,3/11/21,1209802
Alabama,3/12/21,1249205
Alabama,3/13/21,1288242
Alabama,3/14/21,1298612
Alabama,3/15/21,1306419
Alabama,3/16/21,1332298
Alabama,3/17/21,1363987
Alabama,3/18/21,1390066
Alabama,3/19/21,1426696
Alabama,3/20/21,1460782
Alabama,3/21/21,1472666
Alabama,3/22/21,1479271
Alabama,3/23/21,1509445
Alabama,3/24/21,1542416
Alabama,3/25/21,1579091
Alabama,3/26/21,1611404
Alabama,3/27/21,1645858
Alabama,3/28/21,1659102
Alabama,3/29/21,1666585
Alabama,3/30/21,1697641
Alabama,3/31/21,1728736
Alabama,4/1/21,1771979
Alabama,4/2/21,1813462
Alabama,4/3/21,1847243
Alabama,4/4/21,1858833
Alabama,4/5/21,1864857
Alabama,4/6/21,1896920
Alabama,4/7/21,1935221
Alabama,4/8/21,1976344
Alabama,4/9/21,2021334
Alabama,4/10/21,2065327
Alaska,1/12/21,35838
Alaska,1/13/21,38680
Alaska,1/14/21,42596
Alaska,1/15/21,49039
Alaska,1/19/21,66331
Alaska,1/20/21,68293
Alaska,1/21/21,71907
Alaska,1/22/21,81096
Alaska,1/23/21,88344
Alaska,1/24/21,94257
Alaska,1/25/21,97031
Alaska,1/26/21,98149
Alaska,1/27/21,101597
Alaska,1/28/21,105858
Alaska,1/29/21,110396
Alaska,1/30/21,115268
Alaska,1/31/21,119590
Alaska,2/1/21,122020
Alaska,2/2/21,123443
Alaska,2/3/21,125765
Alaska,2/4/21,129936
Alaska,2/5/21,134002
Alaska,2/6/21,139147
Alaska,2/7/21,146082
Alaska,2/8/21,150934
Alaska,2/9/21,152874
Alaska,2/10/21,156255
Alaska,2/11/21,162273
Alaska,2/12/21,167436
Alaska,2/13/21,175138
Alaska,2/14/21,183831
Alaska,2/16/21,191008
Alaska,2/17/21,193617
Alaska,2/18/21,199151
Alaska,2/19/21,216223
Alaska,2/20/21,227403
Alaska,2/21/21,235141
Alaska,2/22/21,238279
Alaska,2/23/21,239927
Alaska,2/24/21,243650
Alaska,2/25/21,249559
Alaska,2/26/21,254334
Alaska,2/27/21,259538
Alaska,2/28/21,264741
Alaska,3/1/21,268406
Alaska,3/2/21,269941
Alaska,3/3/21,273350
Alaska,3/4/21,276891
Alaska,3/5/21,281467
Alaska,3/6/21,288625
Alaska,3/7/21,295046
Alaska,3/8/21,298144
Alaska,3/9/21,302687
Alaska,3/10/21,307769
Alaska,3/11/21,313365
Alaska,3/12/21,318526
Alaska,3/13/21,324271
Alaska,3/14/21,333357
Alaska,3/15/21,337141
Alaska,3/16/21,339647
Alaska,3/17/21,345987
Alaska,3/18/21,351093
Alaska,3/19/21,356055
Alaska,3/20/21,362698
Alaska,3/21/21,372435
Alaska,3/22/21,375590
Alaska,3/23/21,376555
Alaska,3/24/21,379296
Alaska,3/25/21,384503
Alaska,3/26/21,389775
Alaska,3/27/21,395650
